4.581483273013833462e-10,1.364691465879716953e-13,2.845103882571671579e-05,4.454553280609761107e-02,9.554260156967773199e-01
3.476043202278056299e-02,2.710216827791537275e-01,1.397484652320020275e-08,4.812327554641602778e-01,2.129851157590541555e-01
4.898892825666820129e-08,8.229270744949880312e-01,2.763538861869490046e-11,1.770728764885753648e-01,0.000000000000000000e+00
6.363359125324038468e-01,2.737262777751498510e-01,2.853841048030551684e-09,8.975467448324457587e-02,1.831323553624302316e-04
5.225956376241826300e-16,9.869129188425315169e-01,1.694695859691683763e-05,1.029737422359254095e-03,1.204039677651517516e-02
1.906076568554796217e-05,1.250025676826678565e-03,1.411053009873814434e-01,3.040760438024724954e-01,5.535495687676506016e-01
5.264136361265152608e-01,3.292853192754721653e-05,1.553350624409662466e-06,1.278134210719968078e-01,3.457384609189371738e-01
9.083776635277694033e-12,1.515100114440804946e-01,2.433871278493188739e-01,3.153382039873995447e-05,6.050713268771301667e-01
7.237747948884927229e-01,7.480711487848864483e-23,1.990488617493655716e-07,9.048929151028652085e-03,2.671760769116136025e-01
1.395005769098302609e-02,6.769534645923039269e-06,4.792137499009223728e-09,5.479135196137197017e-01,4.381296483685148124e-01
6.153212333892046838e-08,2.862987378537126260e-01,4.660019081769399274e-01,1.425755485857275441e-12,2.476992924357878378e-01
2.003460234137523373e-04,1.040546900029300486e-03,9.051818529520925249e-01,3.366970429813459844e-06,9.357388715401714074e-02
3.095726484480503249e-01,9.681448651676593381e-03,4.054633875559371381e-02,6.401995641445652474e-01,0.000000000000000000e+00
1.911789915192008220e-10,2.797745719391381974e-02,4.050850394784882846e-01,1.739495919468801765e-06,5.669357636405017997e-01
2.058794562819693536e-07,1.738236994787543945e-12,1.307579061415115794e-08,2.867569095149519742e-01,7.132428715280563214e-01
2.921924308220330883e-04,2.411790068097887652e-01,3.114492327299476226e-01,2.486020675272565756e-04,4.468309659619293939e-01
9.930796474728869477e-04,9.507468771132933805e-04,2.516089671008968874e-03,9.168395011747038081e-01,7.870058262969610585e-02
5.195468922973456011e-08,1.897282178248945795e-04,2.089003494668034422e-01,1.597730943934770930e-07,7.909097105876039535e-01
1.241827207035123238e-03,8.526333331761498126e-28,2.304834912708994310e-05,8.850311992946442545e-04,9.978500932445585336e-01
6.183547723460971479e-01,8.385328180424253757e-07,3.731871640308310607e-10,4.179141637985874218e-10,3.816443883299714401e-01
